"OBJECTID","LF_ID","POLY_ID","LF_TYPE","LF_SLOPE","LF_EXTENT"
477,"418009MB",418009,"M","B",100
478,"418010MC",418010,"M","C",100
479,"418011MC",418011,"M","C",100
480,"418012UB",418012,"U","B",100
481,"418013UA",418013,"U","A",100
482,"418014LA",418014,"L","A",100
483,"418020MC",418020,"M","C",100
484,"418021UA",418021,"U","A",100
485,"418023MC",418023,"M","C",100
486,"418027MB",418027,"M","B",100
487,"418028MD",418028,"M","D",100
488,"418030UA",418030,"U","A",100
489,"419002UB",419002,"U","B",100
490,"421001UB",421001,"U","B",100
491,"421007MD",421007,"M","D",100
492,"423021LA",423021,"L","A",100
493,"423022UA",423022,"U","A",100
494,"423023UA",423023,"U","A",100
495,"423028UA",423028,"U","A",100
496,"424002MB",424002,"M","B",100
497,"424003UA",424003,"U","A",100
498,"424005UB",424005,"U","B",100
499,"424006MB",424006,"M","B",100
500,"424007MB",424007,"M","B",100
501,"425001LA",425001,"L","A",100
502,"425002UA",425002,"U","A",100
503,"425003LA",425003,"L","A",100
504,"425006UB",425006,"U","B",100
505,"425007UA",425007,"U","A",100
506,"425008UA",425008,"U","A",100
507,"425009UA",425009,"U","A",100
508,"425011UA",425011,"U","A",100
509,"425012UB",425012,"U","B",100
510,"425013LA",425013,"L","A",100
511,"425014UA",425014,"U","A",100
512,"425016MB",425016,"M","B",70
513,"425016MD",425016,"M","D",30
514,"425019MD",425019,"M","D",30
515,"425019UA",425019,"U","A",70
516,"425020UA",425020,"U","A",100
517,"425022UA",425022,"U","A",100
518,"425023LA",425023,"L","A",100
519,"425024MB",425024,"M","B",30
520,"425024MD",425024,"M","D",70
521,"425025MB",425025,"M","B",100
522,"425027LA",425027,"L","A",100
523,"425028LA",425028,"L","A",100
524,"425030LA",425030,"L","A",100
525,"425032UA",425032,"U","A",100
526,"425033UA",425033,"U","A",100
527,"425034MC",425034,"M","C",100
528,"425035LA",425035,"L","A",100
529,"425036UB",425036,"U","B",100
530,"425037UA",425037,"U","A",100
531,"425038MB",425038,"M","B",100
532,"425039LA",425039,"L","A",70
533,"425039MC",425039,"M","C",30
534,"425040UA",425040,"U","A",100
535,"425041UA",425041,"U","A",100
536,"425042UA",425042,"U","A",100
537,"425043LA",425043,"L","A",100
538,"425044UA",425044,"U","A",100
539,"425046UB",425046,"U","B",100
540,"425049LA",425049,"L","A",100
541,"426004MD",426004,"M","D",100
542,"426006UB",426006,"U","B",100
543,"426008UA",426008,"U","A",100
544,"426013UB",426013,"U","B",100
545,"426015MB",426015,"M","B",100
546,"434009LA",434009,"L","A",70
547,"434009UA",434009,"U","A",30
548,"438002MB",438002,"M","B",100
549,"438003LA",438003,"L","A",100
550,"438004MB",438004,"M","B",100
551,"438005UB",438005,"U","B",100
552,"438006MB",438006,"M","B",100
553,"438015UB",438015,"U","B",100
554,"438016MD",438016,"M","D",100
555,"438017LA",438017,"L","A",100
556,"438018LA",438018,"L","A",100
557,"438020MB",438020,"M","B",100
558,"440002MD",440002,"M","D",70
559,"440002RD",440002,"R","D",30
560,"440006MC",440006,"M","C",70
561,"440006MD",440006,"M","D",30
562,"440007LA",440007,"L","A",100
563,"440009MB",440009,"M","B",100
564,"441001UA",441001,"U","A",100
565,"441003UA",441003,"U","A",100
566,"441004MD",441004,"M","D",100
567,"441006MB",441006,"M","B",100
568,"441007MB",441007,"M","B",100
569,"441008MB",441008,"M","B",100
570,"441009LA",441009,"L","A",100
571,"441010LA",441010,"L","A",100
572,"441011LA",441011,"L","A",100
573,"441012LA",441012,"L","A",100
574,"441014LA",441014,"L","A",100
575,"441016LA",441016,"L","A",100
576,"441017MC",441017,"M","C",100
577,"441018LA",441018,"L","A",100
578,"441019MB",441019,"M","B",100
579,"441020LA",441020,"L","A",100
580,"441021LA",441021,"L","A",100
581,"441022LA",441022,"L","A",100
582,"441023UB",441023,"U","B",100
583,"441024LA",441024,"L","A",100
584,"441026UA",441026,"U","A",100
585,"441027LA",441027,"L","A",100
586,"441028LA",441028,"L","A",100
587,"441029UB",441029,"U","B",100
588,"441030MB",441030,"M","B",100
589,"441031MB",441031,"M","B",100
590,"441033MB",441033,"M","B",100
591,"441034MC",441034,"M","C",100
592,"441036LA",441036,"L","A",100
593,"441037MB",441037,"M","B",100
594,"441038LA",441038,"L","A",100
595,"441039RC",441039,"R","C",100
596,"441040MB",441040,"M","B",100
597,"441042MD",441042,"M","D",100
598,"453004UA",453004,"U","A",100
599,"453005UA",453005,"U","A",100
600,"454001ID",454001,"I","D",100
601,"455006HC",455006,"H","C",100
602,"455009UA",455009,"U","A",100
603,"456005RD",456005,"R","D",100
604,"458002HB",458002,"H","B",100
605,"458003MB",458003,"M","B",100
606,"458006ID",458006,"I","D",100
607,"458007RD",458007,"R","D",100
608,"458013HD",458013,"H","D",100
609,"458014HD",458014,"H","D",100
610,"458018ID",458018,"I","D",100
611,"460001RC",460001,"R","C",100
612,"460002MB",460002,"M","B",100
613,"460003IB",460003,"I","B",100
614,"460004IB",460004,"I","B",100
615,"461002HB",461002,"H","B",100
616,"461003UA",461003,"U","A",100
617,"461008MB",461008,"M","B",100
618,"461009RB",461009,"R","B",100
619,"461012HB",461012,"H","B",100
620,"461014UA",461014,"U","A",100
621,"461016MB",461016,"M","B",100
622,"462001RD",462001,"R","D",100
623,"463001ID",463001,"I","D",100
624,"463003HD",463003,"H","D",100
625,"463006MB",463006,"M","B",100
626,"463010MB",463010,"M","B",100
627,"463011ID",463011,"I","D",100
628,"463013HC",463013,"H","C",100
629,"463015ID",463015,"I","D",100
630,"464017RD",464017,"R","D",100
631,"464024ID",464024,"I","D",100
632,"466001UA",466001,"U","A",100
633,"466005HC",466005,"H","C",100
634,"466007RD",466007,"R","D",100
635,"466008HD",466008,"H","D",100
636,"466010HC",466010,"H","C",100
637,"466011RC",466011,"R","C",100
638,"466012UA",466012,"U","A",100
639,"466014RD",466014,"R","D",100
640,"466016UA",466016,"U","A",100
641,"466017HD",466017,"H","D",100
642,"466019UB",466019,"U","B",100
643,"466021UA",466021,"U","A",100
644,"466022HC",466022,"H","C",100
645,"466024ID",466024,"I","D",100
646,"466026HC",466026,"H","C",100
647,"466027HB",466027,"H","B",100
648,"466030MC",466030,"M","C",100
649,"466031UA",466031,"U","A",100
650,"466034HC",466034,"H","C",100
651,"466042MC",466042,"M","C",100
652,"466048ID",466048,"I","D",100
653,"466051UA",466051,"U","A",100
654,"466054UA",466054,"U","A",100
655,"466055HB",466055,"H","B",100
656,"466056HB",466056,"H","B",100
657,"466061MB",466061,"M","B",100
658,"467004IC",467004,"I","C",100
659,"468001RD",468001,"R","D",100
660,"468003UA",468003,"U","A",100
661,"468004ID",468004,"I","D",100
662,"468005RD",468005,"R","D",100
663,"468006HC",468006,"H","C",100
664,"468007UA",468007,"U","A",100
665,"468010HC",468010,"H","C",100
666,"468013RC",468013,"R","C",100
667,"468015HC",468015,"H","C",100
668,"468016UA",468016,"U","A",100
669,"468017IB",468017,"I","B",100
670,"468024RC",468024,"R","C",100
671,"468030ID",468030,"I","D",100
672,"468032MC",468032,"M","C",100
673,"468034MB",468034,"M","B",100
674,"470001UA",470001,"U","A",100
675,"470002HD",470002,"H","D",100
676,"470003HC",470003,"H","C",100
677,"470006RD",470006,"R","D",100
678,"470011RD",470011,"R","D",100
679,"470012HB",470012,"H","B",100
680,"470014HD",470014,"H","D",100
681,"470015RC",470015,"R","C",100
682,"470016RD",470016,"R","D",100
683,"470017HC",470017,"H","C",100
684,"470020RD",470020,"R","D",100
685,"470021HD",470021,"H","D",100
686,"470025RD",470025,"R","D",100
687,"470026RD",470026,"R","D",100
688,"470028RD",470028,"R","D",100
689,"470031HD",470031,"H","D",100
690,"470033HD",470033,"H","D",100
691,"470034RD",470034,"R","D",100
692,"470038MC",470038,"M","C",100
693,"470039MC",470039,"M","C",100
694,"471001MC",471001,"M","C",100
695,"471002HC",471002,"H","C",100
696,"471003MC",471003,"M","C",100
697,"471004HC",471004,"H","C",100
698,"471005HD",471005,"H","D",100
699,"471008MC",471008,"M","C",100
700,"471009HD",471009,"H","D",100
701,"471010MD",471010,"M","D",100
702,"471011MD",471011,"M","D",100
703,"471012MC",471012,"M","C",100
704,"471015HC",471015,"H","C",100
705,"471016MB",471016,"M","B",100
706,"471017UB",471017,"U","B",100
707,"471018MB",471018,"M","B",100
708,"471019MD",471019,"M","D",100
709,"471020MD",471020,"M","D",100
